Date,Open,High,Low,Close,Adj Close,Volume
2-Mar-20,282.28,301.44,277.72,298.81,297.47,"85,349,300"
28-Feb-20,257.26,278.41,256.37,273.36,272.13,"106,721,200"
27-Feb-20,281.1,286,272.96,273.52,272.29,"79,834,500"
26-Feb-20,286.53,297.88,286.5,292.65,291.33,"49,513,700"
25-Feb-20,300.95,302.53,286.13,288.08,286.79,"57,668,400"
24-Feb-20,297.26,304.18,289.23,298.18,296.84,"55,548,800"
21-Feb-20,318.62,320.45,310.5,313.05,311.64,"32,388,500"
20-Feb-20,322.63,324.65,318.21,320.3,318.86,"25,048,900"
19-Feb-20,320,324.57,320,323.62,322.17,"23,496,000"
18-Feb-20,315.36,319.75,314.61,319,317.57,"38,132,800"
14-Feb-20,324.74,325.98,322.85,324.95,323.49,"20,028,400"
13-Feb-20,324.19,326.22,323.35,324.87,323.41,"23,686,900"
12-Feb-20,321.47,327.22,321.47,327.2,325.73,"28,432,600"
11-Feb-20,323.6,323.9,318.71,319.61,318.17,"23,580,800"
10-Feb-20,314.18,321.55,313.85,321.55,320.1,"27,337,200"
7-Feb-20,322.37,323.4,318,320.03,318.59,"29,421,000"
7-Feb-20,0.77 Dividend,,,,,
6-Feb-20,322.57,325.22,320.26,325.21,322.98,"26,356,400"
5-Feb-20,323.52,324.76,318.95,321.45,319.25,"29,706,700"
4-Feb-20,315.31,319.64,313.63,318.85,316.67,"34,154,100"
3-Feb-20,304.3,313.49,302.22,308.66,306.55,"43,496,400"
31-Jan-20,320.93,322.68,308.29,309.51,307.39,"49,897,100"
30-Jan-20,320.54,324.09,318.75,323.87,321.65,"31,685,800"
29-Jan-20,324.45,327.85,321.38,324.34,322.12,"54,057,300"
28-Jan-20,312.6,318.4,312.19,317.69,315.51,"40,558,500"
27-Jan-20,310.06,311.77,304.88,308.95,306.83,"40,485,000"
24-Jan-20,320.25,323.33,317.52,318.31,316.13,"36,634,400"
23-Jan-20,317.92,319.56,315.65,319.23,317.04,"26,118,000"
22-Jan-20,318.58,319.99,317.31,317.7,315.52,"25,458,100"
21-Jan-20,317.19,319.02,316,316.57,314.4,"27,710,800"
17-Jan-20,316.27,318.74,315,318.73,316.55,"34,454,100"
16-Jan-20,313.59,315.7,312.09,315.24,313.08,"27,207,300"
15-Jan-20,311.85,315.5,309.55,311.34,309.21,"30,480,900"
14-Jan-20,316.7,317.57,312.17,312.68,310.54,"40,488,600"
13-Jan-20,311.64,317.07,311.15,316.96,314.79,"30,383,000"
10-Jan-20,310.6,312.67,308.25,310.33,308.2,"35,161,200"
9-Jan-20,307.24,310.43,306.2,309.63,307.51,"42,527,100"
